POLICY	Redirects
"Wikipedia:Categories, lists, and navigation templates"	"WP:CLS, WP:CSL"
Wikipedia:Categorization	"WP:CG, WP:CAT"
Wikipedia:Citing sources	"WP:CITE, WP:REF"
Wikipedia:Common knowledge	"WP:CK, WP:COMKNOW"
Wikipedia:Conflict of interest	WP:COI
Wikipedia:Deletion guidelines for administrators	WP:DGFA
Wikipedia:Disambiguation	"WP:D, WP:DAB, WP:DISAM, WP:DISAMBIG"
Wikipedia:Disruptive editing	"WP:DE, WP:DISRUPT"
Wikipedia:Do not disrupt Wikipedia to illustrate a point	WP:POINT
Wikipedia:External links	"WP:EL, WP:EXT"
Wikipedia:Logos	"WP:LOGOS, WP:LOGO"
Wikipedia:Lyrics and poetry	WP:L&P
Wikipedia:Reader	WP:READERS
Wikipedia:Manual of Style	"WP:MOS, WP:STYLE, MOS:"
Wikipedia:Manual of Style/Abbreviations	"WP:ABB, WP:ABBR, MOS:ABB"
Wikipedia:Manual of Style/Biographies	"WP:MOSBIO, WP:NAMES, MOS:BIO"
Wikipedia:Manual of Style/China-related articles	WP:MOS-ZH
Wikipedia:Manual of Style/Dates and numbers	"WP:MOSDATE, WP:MOSNUM, WP:DATE, WP:MOSNUM, MOS:DATE, MOS:NUM"
Wikipedia:Manual of Style/Disambiguation pages	"WP:MOSDAB, WP:MOSDP, MOS:DAB, MOS:DP"
Wikipedia:Manual of Style/Ireland-related articles	"WP:IMOS, WP:MOS-IR"
Wikipedia:Manual of Style/Japan-related articles	"WP:MOS-JA, WP:MOS-JP, WP:MJ"
Wikipedia:Manual of Style/Korea-related articles	WP:MOS-KO
Wikipedia:Manual of Style/Layout	"WP:GTL, WP:LAY, WP:LAYOUT"
Wikipedia:Manual of Style/Lead section	"WP:LEAD, WP:LS"
Wikipedia:Manual of Style/Linking	"WP:MOS-L, MOS:L"
Wikipedia:Manual of Style/Lists	"WP:L, WP:LIST, WP:LISTS"
Wikipedia:Manual of Style/Mathematics	"WP:MSM, WP:MOS-MATH, MOS:MATH"
Wikipedia:Manual of Style/Pronunciation	"WP:MOS-P, WP:MOSIPA, WP:PRON"
Wikipedia:Manual of Style/Self-references to avoid	"WP:SRTA, WP:SELF"
Wikipedia:Manual of Style/Tables	WP:HTUT
Wikipedia:Manual of Style/Titles	"WP:MOS-T, MOS:T"
Wikipedia:Manual of Style/Trademarks	"WP:MOS-TM, WP:MOSTM, MOS:TM"
Wikipedia:Manual of Style/Writing about fiction	WP:WAF
Wikipedia:Naming conventions (Chinese)	WP:NC-ZH
Wikipedia:Notability	WP:N
Wikipedia:Notability (fiction)	WP:FICT
Wikipedia:Notability (music)	"WP:MUSIC, WP:MUS, WP:NMG"
Wikipedia:Notability (organizations and companies)	"WP:CORP, WP:ORG"
Wikipedia:Notability (web)	WP:WEB
Wikipedia:Revert only when necessary	WP:ROWN
Wikipedia:Signatures	"WP:SIG, WP:SIGNATURE, WP:SIGN"
Wikipedia:Spam	"WP:NOSPAM, WP:SPAM"
Wikipedia:Speedy keep	WP:SK
Wikipedia:Spoiler	"WP:SPOIL, WP:SPOILER, WP:SW"
Wikipedia:Stub	WP:STUB
Wikipedia:Subpages	"WP:SP, WP:SUBP, WP:SUBPAGE, WP:SUBPAGES, WP:DNUS"
Wikipedia:Talk page guidelines	"WP:DISCUSSION, WP:TALK, WP:TPG"
Wikipedia:Talk page templates	WP:TPT
Wikipedia:Third opinion	"WP:3O, WP:30, WP:THIRD, WP:RF3O"
Wikipedia:Wikimedia sister projects	"WP:SISTER, WP:SIS, WP:MOSSIS"
